form_record_id,parent_form_id,parent_field_id,parent_record_id,Date,Observation Method,Cubs#,Cub Age Class,LitterID,Year Summary,Cubs observed at end,Cubs
rec-14df51f031f44497a57c80086a844b2a,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-8f1399bf992d4baeaaad3260e1058171,2021-09-13,Aerial,0,,,,,Esme 
rec-bbfd21443ea349e2b67397f51a8a7e6c,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-8f1399bf992d4baeaaad3260e1058171,2022-04-30,RemoteCamera,0,,,,,Esme 
rec-5b2cf6d3edd54dc7bad9b49ac6da0510,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-8f1399bf992d4baeaaad3260e1058171,2022-05-24,Aerial,0,,,,,Esme 
rec-075c8a591c064eeba9b82aa923ed4ea5,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-6b13597054ac44b5a7988611b958af4e,2021-09-27,Capture,0,,,,,EVGF84
rec-393f0d7cf8d44bef8b6879aeb81c2502,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-6b13597054ac44b5a7988611b958af4e,2022-05-24,Aerial,0,,,,,EVGF84
rec-f08d25487ecb4186828ab06b6636867d,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-d62f4f1430914807b40565d3531dd0a6,2016-10-03,Capture,0,,,,,Fran
rec-0e74e41cb78f4b2891e6a42af700fdbb,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-103f064d30b54910a429e2b5d7f18a84,2022-09-18,Capture,0,,,,,Grace
rec-c5d96b111aa3437d87e69b57f8a5af81,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-cf25dcc187db455eafc9770140e450a8,2016-11-10,Capture,2,COY,1,,,Hillary
rec-c2d540435fab46308010fff9b57f1157,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-0507a5f8c5584aeda79673b16666a463,2015-09-25,Capture,2,1YO,1,,,Honey
rec-1bcef225f9fd45ccb35e2cced3d2a80e,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-0507a5f8c5584aeda79673b16666a463,2017-07-18,Capture,0,,,,,Honey
rec-558adc8a0b964ac59b1d63461c82945b,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-03b34ececda04a479acc9a6e62fa9022,2019-05-09,"Aerial, Capture",2,3YO,1,,,JimmyMom
rec-a576ad54c623420db9d9f323c5ebbac2,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-03b34ececda04a479acc9a6e62fa9022,2019-07-16,Aerial,0,,,,,JimmyMom
