form_record_id,parent_form_id,parent_field_id,parent_record_id,Sample Type,Sample Barcode,Sample Label
rec-65aee0cca65548918d552e69e00f1806,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-71e072f5c7984a4397930cf5a830e510,Hair,15151,cl-EV159
rec-e2c35bfcc64644a0b01f84d4b9731c63,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-71e072f5c7984a4397930cf5a830e510,Tissue,15153,cl-EV160
rec-b8dc2cbed1824cdab2ffd7c890bf42ee,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-71e072f5c7984a4397930cf5a830e510,Tooth,14909,cl-EV161
rec-2665b42eeeee4e59aaa5711d6726c88f,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-26a61e91e28440f4b4fef23da47561d8,Hair,1677,cl-EV294
rec-61b1c60ee31b4e72960095f97d12633c,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-26a61e91e28440f4b4fef23da47561d8,Hair,1678,cl-EV295
rec-cbcb8f126c85419094588b91d3d7310c,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-26a61e91e28440f4b4fef23da47561d8,Tissue,1676,cl-EV296
rec-13aa28680d7e43f7a8068c15709a710f,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-26a61e91e28440f4b4fef23da47561d8,Blood,,WLH ID 21-2753
rec-36b0031952cb4d29810092e1395d61ba,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-26a61e91e28440f4b4fef23da47561d8,Blood,,WLH ID 21-2753
rec-7cb00771c1b443839c359be0681fbf86,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-26a61e91e28440f4b4fef23da47561d8,Blood,,WLH ID 21-2753
rec-15a4a1f50a0a49ddb4e76509a570d805,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-26a61e91e28440f4b4fef23da47561d8,Blood,,WLH ID 21-2753
rec-3f1a265309a6454387579a6b0fbd0927,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-9a523cf690a44615afce8f80e356a641,Hair,14971,cl-EV162
rec-51bbf1b0c9574fad8e20d0cef46a9be1,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-9a523cf690a44615afce8f80e356a641,Hair,14983,cl-EV163
rec-3cf78aa80f4241948beddf7400fbe89b,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-9a523cf690a44615afce8f80e356a641,Tissue,15028,cl-EV164
rec-e0334ecd771e4a96b181fdb9b3b45244,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-aa3d076dd007429ab3fa6fafee4dc2a7,Hair,15147,cl-EV165
rec-f4d3438959c8455a853733ae1635e7cc,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-aa3d076dd007429ab3fa6fafee4dc2a7,Hair,15150,cl-EV166
rec-d876488724634bdba58174a3d8cb9eec,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-aa3d076dd007429ab3fa6fafee4dc2a7,Tissue,15148,cl-EV167
rec-a847b66b13a64274bde9353893ee0e05,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-aa3d076dd007429ab3fa6fafee4dc2a7,Tooth,15149,cl-EV168
rec-70e668488c7c4abe84e25fca2a266b76,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-d6cf462765cd4d50975b8d8511163e17,Hair,14584,cl-EV173
rec-63e69e9401614a968bd4072185a6118c,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-8a6af8993d724af1bc54b4bd99485196,Hair,13467,cl-EV239
rec-8562a3040d1e42b79e46b2ecb0b1fcf9,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-d8eb8968291c4e15b5626610c994869f,Hair,14627,cl-EV191
rec-1b44228b1bf04f0ea99fde90da9aa4d3,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-d8eb8968291c4e15b5626610c994869f,Hair,14628,cl-EV192
rec-8a06dde72a324d06870ba2ef4c5a93a5,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-d8eb8968291c4e15b5626610c994869f,Tissue,14629,cl-EV193
rec-7b18cb3966dc415ea829d29a712d26ca,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-d8eb8968291c4e15b5626610c994869f,Tooth,,cl-EV194
rec-f57dbb344fd84b9faa0ad385c9192b95,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-67c5c3c45bee43e5a645a46287040d55,Hair,1229,cl-EV280
